linha,id_onibus,timestamp,lat,lon,is_eletrico
4014-10,48729,2025-08-28T15:25:30Z,-23.611476500000002,-46.4564085,True
4014-10,48062,2025-08-28T15:24:59Z,-23.612996,-46.456739999999996,True
4014-10,48274,2025-08-28T15:25:36Z,-23.5783385,-46.5030845,True
4014-10,48866,2025-08-28T15:25:23Z,-23.59631125,-46.47557625,True
648P-10,71429,2025-08-28T15:25:42Z,-23.566112500000003,-46.701726,False
648P-10,71246,2025-08-28T15:25:08Z,-23.6548665,-46.7623555,True
648P-10,71741,2025-08-28T15:25:11Z,-23.64505,-46.7459375,True
648P-10,71656,2025-08-28T15:25:38Z,-23.567809,-46.699926500000004,True
648P-10,71125,2025-08-28T15:25:25Z,-23.61237275,-46.6955505,True
403A-10,48342,2025-08-28T15:25:20Z,-23.540503,-46.431996,True
403A-10,48159,2025-08-28T15:25:38Z,-23.519419499999998,-46.547022,True
403A-10,48823,2025-08-28T15:25:06Z,-23.540297,-46.431876,False
403A-10,48825,2025-08-28T15:25:38Z,-23.535628000000003,-46.5202565,False
403A-10,48170,2025-08-28T15:25:16Z,-23.554871499999997,-46.479843,True
403A-10,48299,2025-08-28T15:25:06Z,-23.551948624999998,-46.43654475,True
403A-10,48076,2025-08-28T15:25:07Z,-23.5467685,-46.511632,True
1020-10,15177,2025-08-28T15:25:29Z,-23.4106675,-46.763892,True
1020-10,15209,2025-08-28T15:25:24Z,-23.460037999999997,-46.7210435,True
1020-10,15230,2025-08-28T15:25:00Z,-23.4304935,-46.7208095,False
1020-10,15237,2025-08-28T15:25:16Z,-23.4106675,-46.763892,False
1020-10,15162,2025-08-28T15:25:29Z,-23.4106675,-46.763892,False
1020-10,15052,2025-08-28T15:25:12Z,-23.4877905,-46.7179115,True
1020-10,15184,2025-08-28T15:25:12Z,-23.410479000000002,-46.7633485,False
6806-10,72830,2025-08-28T15:25:17Z,-23.643456999999998,-46.7356385,False
6806-10,72767,2025-08-28T15:25:20Z,-23.633603,-46.7580435,False
3721-10,47182,2025-08-28T15:25:38Z,-23.553251500000002,-46.491372999999996,False
3721-10,47252,2025-08-28T15:24:59Z,-23.56334,-46.4931835,False
3721-10,47152,2025-08-28T15:25:04Z,-23.5634675,-46.505427,False
3721-10,47797,2025-08-28T15:25:11Z,-23.565371499999998,-46.494893,True
3721-10,47275,2025-08-28T15:25:40Z,-23.563608000000002,-46.5053735,True
6010-10,78146,2025-08-28T15:25:22Z,-23.6658145,-46.762111,True
6010-10,78025,2025-08-28T15:25:18Z,-23.66374175,-46.748173,False
6010-10,78131,2025-08-28T15:25:33Z,-23.6938785,-46.7945825,True
6010-10,78187,2025-08-28T15:25:00Z,-23.6792745,-46.7956675,True
6010-10,78920,2025-08-28T15:25:13Z,-23.667592,-46.735935999999995,True
6010-10,78880,2025-08-28T15:25:12Z,-23.6708135,-46.759646000000004,True
702C-10,81310,2025-08-28T15:25:27Z,-23.571778000000002,-46.7484685,False
702C-10,81392,2025-08-28T15:25:44Z,-23.5658345,-46.751884000000004,True
702C-10,81548,2025-08-28T15:25:32Z,-23.53937725,-46.608977749999994,False
702C-10,81192,2025-08-28T15:25:00Z,-23.576150499999997,-46.741794875,False
702C-10,81250,2025-08-28T15:25:18Z,-23.547560500000003,-46.640557,True
702C-10,81139,2025-08-28T15:25:30Z,-23.542462,-46.590803,False
702C-10,81256,2025-08-28T15:25:44Z,-23.5489345,-46.651877,True
702C-10,81203,2025-08-28T15:25:12Z,-23.571202,-46.691386,True
3902-10,32108,2025-08-28T15:25:21Z,-23.4849345,-46.3847545,False
3902-10,32746,2025-08-28T15:25:26Z,-23.49551025,-46.37769125,True
3902-10,32133,2025-08-28T15:25:27Z,-23.485033,-46.3846735,False
6072-10,66684,2025-08-28T15:25:40Z,-23.827337999999997,-46.697942375,False
6072-10,66810,2025-08-28T15:25:41Z,-23.7665845,-46.7163125,True
6072-10,66311,2025-08-28T15:25:11Z,-23.827328,-46.698244625,False
6072-10,66101,2025-08-28T15:25:16Z,-23.7866725,-46.714248999999995,False
6072-10,66163,2025-08-28T15:25:41Z,-23.767103,-46.7163835,False
6072-10,66357,2025-08-28T15:25:19Z,-23.827404,-46.697334,False
6072-10,66029,2025-08-28T15:23:15Z,-23.814580499999998,-46.7064855,True
6072-10,66766,2025-08-28T15:25:04Z,-23.768635,-46.7159765,False
4031-10,55502,2025-08-28T15:25:41Z,-23.593271,-46.560283,False
4031-10,55097,2025-08-28T15:25:02Z,-23.58525225,-46.580772249999995,False
4031-10,55102,2025-08-28T15:25:27Z,-23.61408,-46.517419000000004,False
4031-10,55051,2025-08-28T15:25:17Z,-23.614912,-46.514389,True
4031-10,55145,2025-08-28T15:25:13Z,-23.60350125,-46.52614375,False
4031-10,55114,2025-08-28T15:25:34Z,-23.57976125,-46.57095175,False
4031-10,55493,2025-08-28T15:25:35Z,-23.61408,-46.517419000000004,True
4031-10,55475,2025-08-28T15:25:32Z,-23.5950135,-46.5434235,True
748A-10,80122,2025-08-28T15:24:58Z,-23.5845825,-46.782627,True
748A-10,80149,2025-08-28T15:25:07Z,-23.5242745,-46.706094,True
748A-10,80346,2025-08-28T15:25:21Z,-23.537647,-46.725948,False
4033-10,55252,2025-08-28T15:25:40Z,-23.601984,-46.535097,False
4033-10,55532,2025-08-28T15:25:01Z,-23.614544,-46.500679,True
4033-10,55430,2025-08-28T15:25:41Z,-23.610527500000003,-46.48628050000001,True
4033-10,55539,2025-08-28T15:25:15Z,-23.604264,-46.538593500000005,False
4033-10,55343,2025-08-28T15:25:23Z,-23.622335,-46.4622205,True
4033-10,55538,2025-08-28T15:25:07Z,-23.61872,-46.4494055,False
4033-10,55548,2025-08-28T15:25:10Z,-23.598543,-46.5201735,True
3734-10,45518,2025-08-28T15:25:16Z,-23.550708,-46.46359375,True
3734-10,45429,2025-08-28T15:25:07Z,-23.552791499999998,-46.473403000000005,False
3734-10,45038,2025-08-28T15:25:08Z,-23.553037,-46.484320499999995,True
3734-10,45354,2025-08-28T15:25:14Z,-23.542323500000002,-46.4836185,True
1701-21,26355,2025-08-28T15:25:09Z,-23.447538,-46.576252999999994,True
1701-21,26256,2025-08-28T15:25:00Z,-23.4503715,-46.5743625,True
637P-10,76095,2025-08-28T15:25:08Z,-23.6541465,-46.711351,False
637P-10,76354,2025-08-28T15:25:41Z,-23.583012,-46.6831995,True
637P-10,76960,2025-08-28T15:25:33Z,-23.58019375,-46.6850195,False
637P-10,76373,2025-08-28T15:25:11Z,-23.587723500000003,-46.671594,True
637P-10,76048,2025-08-28T15:25:28Z,-23.566328499999997,-46.7019335,False
637P-10,76051,2025-08-28T15:25:03Z,-23.6541465,-46.711351,False
637P-10,76092,2025-08-28T15:25:42Z,-23.6541465,-46.711351,True
637P-10,76356,2025-08-28T15:25:25Z,-23.6541465,-46.711351,False
